state,state_case,distract_num,distract_desc,state_name,year
1,10001,0,Not/Unknown if Distracted,AL,2017
1,10002,0,Not/Unknown if Distracted,AL,2017
1,10003,99,Not/Unknown if Distracted,AL,2017
1,10003,99,Not/Unknown if Distracted,AL,2017
1,10003,99,Not/Unknown if Distracted,AL,2017
1,10004,99,Not/Unknown if Distracted,AL,2017
1,10005,99,Not/Unknown if Distracted,AL,2017
1,10006,99,Not/Unknown if Distracted,AL,2017
1,10006,0,Not/Unknown if Distracted,AL,2017
1,10007,99,Not/Unknown if Distracted,AL,2017
1,10007,99,Not/Unknown if Distracted,AL,2017
1,10008,99,Not/Unknown if Distracted,AL,2017
1,10009,99,Not/Unknown if Distracted,AL,2017
1,10010,0,Not/Unknown if Distracted,AL,2017
1,10011,0,Not/Unknown if Distracted,AL,2017
1,10011,0,Not/Unknown if Distracted,AL,2017
1,10012,99,Not/Unknown if Distracted,AL,2017
1,10012,0,Not/Unknown if Distracted,AL,2017
1,10013,0,Not/Unknown if Distracted,AL,2017
1,10013,0,Not/Unknown if Distracted,AL,2017
1,10014,99,Not/Unknown if Distracted,AL,2017
1,10014,0,Not/Unknown if Distracted,AL,2017
1,10014,0,Not/Unknown if Distracted,AL,2017
1,10015,99,Not/Unknown if Distracted,AL,2017
1,10016,99,Not/Unknown if Distracted,AL,2017
1,10017,0,Not/Unknown if Distracted,AL,2017
1,10018,99,Not/Unknown if Distracted,AL,2017
1,10018,0,Not/Unknown if Distracted,AL,2017
1,10019,99,Not/Unknown if Distracted,AL,2017
1,10020,99,Not/Unknown if Distracted,AL,2017
1,10021,99,Not/Unknown if Distracted,AL,2017
1,10022,99,Not/Unknown if Distracted,AL,2017
1,10023,0,Not/Unknown if Distracted,AL,2017
1,10023,0,Not/Unknown if Distracted,AL,2017
1,10023,0,Not/Unknown if Distracted,AL,2017
1,10023,0,Not/Unknown if Distracted,AL,2017
1,10024,99,Not/Unknown if Distracted,AL,2017
1,10024,0,Not/Unknown if Distracted,AL,2017
1,10024,0,Not/Unknown if Distracted,AL,2017
1,10025,0,Not/Unknown if Distracted,AL,2017
1,10026,99,Not/Unknown if Distracted,AL,2017
1,10026,0,Not/Unknown if Distracted,AL,2017
1,10027,0,Not/Unknown if Distracted,AL,2017
1,10028,0,Not/Unknown if Distracted,AL,2017
1,10029,5,Cell Phone,AL,2017
1,10030,99,Not/Unknown if Distracted,AL,2017
1,10031,0,Not/Unknown if Distracted,AL,2017
