state,state_case,person_num,age,sex,injury_severity,alc_involved,alc_test_result,drugs,drug_num,doa,state_name,drug_desc,year
1,10001,1,22,1,2,0,2,0,1,0,AL,No Drugs,2012
1,10001,2,20,2,4,8,96,8,0,0,AL,Not Reported,2012
1,10002,1,10,2,4,0,96,0,0,0,AL,Not Reported,2012
1,10003,1,44,2,2,0,0,0,1,0,AL,No Drugs,2012
1,10003,2,22,2,4,8,0,8,1,7,AL,No Drugs,2012
1,10003,3,12,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10003,4,1,1,2,8,96,8,0,0,AL,Not Reported,2012
1,10003,5,9,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10003,6,6,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10004,1,17,2,4,0,96,0,0,0,AL,Not Reported,2012
1,10004,1,39,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10004,2,34,2,0,8,96,8,0,0,AL,Not Reported,2012
1,10004,3,7,1,0,8,96,8,0,0,AL,Not Reported,2012
1,10004,4,9,1,0,8,96,8,0,0,AL,Not Reported,2012
1,10005,1,63,1,4,0,96,0,0,7,AL,Not Reported,2012
1,10006,1,76,1,4,0,0,0,1,0,AL,No Drugs,2012
1,10006,1,22,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10006,1,43,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10007,1,19,1,4,1,13,0,1,7,AL,No Drugs,2012
1,10008,1,30,2,4,1,18,9,605,7,AL,Cannabinoid,2012
1,10009,1,30,1,4,9,0,9,407,7,AL,Stimulant,2012
1,10009,1,28,1,1,9,0,9,300,0,AL,Depressant,2012
1,10010,1,77,1,4,9,11,9,300,7,AL,Depressant,2012
1,10010,1,48,1,0,0,0,0,1,0,AL,No Drugs,2012
1,10010,2,4,2,0,8,96,8,0,0,AL,Not Reported,2012
1,10010,3,4,2,0,8,96,8,0,0,AL,Not Reported,2012
1,10011,1,93,2,4,0,96,0,0,0,AL,Not Reported,2012
1,10012,1,37,2,4,9,0,9,189,0,AL,Narcotic,2012
1,10012,1,52,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10013,1,52,1,4,0,96,0,0,0,AL,Not Reported,2012
1,10014,1,28,1,4,9,97,9,997,7,AL,Invalid Id,2012
1,10015,1,26,1,4,9,3,9,1,7,AL,No Drugs,2012
1,10015,2,22,1,4,8,1,8,1,7,AL,No Drugs,2012
1,10015,1,35,1,2,0,96,0,0,0,AL,Not Reported,2012
1,10015,2,30,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10015,3,1,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10016,1,43,1,4,0,0,9,605,7,AL,Cannabinoid,2012
1,10017,1,62,1,4,0,0,0,1,0,AL,No Drugs,2012
1,10018,1,91,2,4,9,0,9,321,7,AL,Depressant,2012
1,10018,1,63,1,2,0,96,0,0,0,AL,Not Reported,2012
1,10019,1,37,2,4,1,96,9,0,0,AL,Not Reported,2012
1,10020,1,24,1,4,0,0,0,1,7,AL,No Drugs,2012
1,10021,1,46,1,4,1,10,9,1,7,AL,No Drugs,2012
1,10022,1,5,1,4,0,96,0,0,7,AL,Not Reported,2012
1,10022,1,51,1,0,1,1,9,600,0,AL,Cannabinoid,2012
1,10023,1,62,1,4,0,0,1,998,0,AL,Invalid Id,2012
1,10023,2,30,1,4,8,0,8,402,0,AL,Stimulant,2012
1,10024,1,18,1,4,0,0,0,1,7,AL,No Drugs,2012
1,10025,1,23,1,4,9,0,9,1,7,AL,No Drugs,2012
1,10026,1,16,1,4,9,97,9,997,7,AL,Invalid Id,2012
1,10026,2,16,1,1,8,96,8,0,0,AL,Not Reported,2012
1,10027,1,40,1,4,9,16,9,402,7,AL,Stimulant,2012
1,10028,1,60,1,4,0,96,0,0,0,AL,Not Reported,2012
1,10028,1,26,1,1,0,96,0,0,0,AL,Not Reported,2012
1,10028,2,34,2,1,8,96,8,0,0,AL,Not Reported,2012
1,10029,1,23,1,3,0,0,0,1,0,AL,No Drugs,2012
1,10029,2,20,2,3,8,96,8,0,0,AL,Not Reported,2012
1,10029,3,22,1,4,8,96,8,0,7,AL,Not Reported,2012
1,10029,4,21,1,3,8,96,8,0,0,AL,Not Reported,2012
1,10029,1,48,1,3,0,0,0,1,0,AL,No Drugs,2012
1,10030,1,43,2,4,1,96,0,0,7,AL,Not Reported,2012
1,10031,1,39,1,4,9,15,9,300,7,AL,Depressant,2012
1,10032,1,21,1,3,0,96,1,0,0,AL,Not Reported,2012
1,10032,1,59,2,3,0,96,0,0,0,AL,Not Reported,2012
1,10032,2,63,2,4,8,96,8,0,7,AL,Not Reported,2012
1,10033,1,32,2,4,9,96,9,0,0,AL,Not Reported,2012
1,10033,1,22,2,0,0,96,0,0,0,AL,Not Reported,2012
1,10034,1,31,1,4,9,97,9,997,7,AL,Invalid Id,2012
1,10034,2,25,1,2,8,96,8,0,0,AL,Not Reported,2012
1,10034,3,23,1,2,8,96,8,0,0,AL,Not Reported,2012
1,10034,4,28,1,2,8,96,8,0,0,AL,Not Reported,2012
1,10035,1,40,1,4,9,0,9,417,7,AL,Stimulant,2012
1,10036,1,38,1,4,0,0,0,996,7,AL,Unknown Results,2012
1,10037,1,29,2,4,0,26,9,1,0,AL,No Drugs,2012
1,10038,1,34,2,4,0,0,0,300,7,AL,Depressant,2012
1,10038,2,10,2,3,8,96,8,0,0,AL,Not Reported,2012
1,10038,3,14,2,3,8,96,8,0,0,AL,Not Reported,2012
1,10039,1,21,2,4,9,0,9,1,0,AL,No Drugs,2012
1,10039,1,59,1,0,1,12,1,402,0,AL,Stimulant,2012
1,10040,1,50,1,4,0,0,0,1,0,AL,No Drugs,2012
1,10040,2,32,2,3,8,96,8,0,0,AL,Not Reported,2012
1,10040,1,19,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10041,1,67,1,4,9,1,9,1,0,AL,No Drugs,2012
1,10041,1,54,2,2,9,0,9,177,0,AL,Narcotic,2012
1,10041,2,50,1,3,8,96,8,0,0,AL,Not Reported,2012
1,10042,1,33,2,4,9,22,9,605,7,AL,Cannabinoid,2012
1,10042,2,0,1,0,8,96,8,0,0,AL,Not Reported,2012
1,10043,1,23,1,3,1,97,9,997,0,AL,Invalid Id,2012
1,10043,2,36,1,4,8,0,8,1,7,AL,No Drugs,2012
1,10044,1,40,1,4,9,0,9,1,0,AL,No Drugs,2012
1,10045,1,56,2,4,9,0,9,1,7,AL,No Drugs,2012
1,10045,1,62,1,2,0,0,0,155,0,AL,Narcotic,2012
1,10046,1,35,2,4,9,0,9,321,0,AL,Depressant,2012
1,10046,1,40,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10047,1,59,1,4,0,36,0,177,7,AL,Narcotic,2012
1,10048,1,34,2,4,9,20,9,1,7,AL,No Drugs,2012
1,10049,1,30,1,4,1,31,1,407,7,AL,Stimulant,2012
1,10050,1,39,1,0,0,0,9,605,0,AL,Cannabinoid,2012
1,10050,1,63,1,4,0,96,0,0,0,AL,Not Reported,2012
1,10051,1,66,1,4,9,21,9,600,7,AL,Cannabinoid,2012
1,10052,1,75,1,4,0,2,0,1,7,AL,No Drugs,2012
1,10053,1,56,1,4,9,96,9,0,0,AL,Not Reported,2012
1,10053,1,20,2,0,0,96,0,0,0,AL,Not Reported,2012
1,10053,2,2,2,0,8,96,8,0,0,AL,Not Reported,2012
1,10053,3,0,1,0,8,96,8,0,0,AL,Not Reported,2012
1,10054,1,41,2,4,1,4,0,1,7,AL,No Drugs,2012
1,10054,1,46,1,2,1,19,0,1,0,AL,No Drugs,2012
1,10055,1,19,1,4,9,0,9,600,7,AL,Cannabinoid,2012
1,10055,1,24,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10056,1,73,1,0,0,0,0,1,0,AL,No Drugs,2012
1,10056,1,33,2,4,9,0,9,1,0,AL,No Drugs,2012
1,10057,1,18,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10057,1,69,2,3,0,96,0,0,0,AL,Not Reported,2012
1,10057,2,92,2,4,8,96,8,0,0,AL,Not Reported,2012
1,10058,1,38,1,4,0,96,0,0,0,AL,Not Reported,2012
1,10058,1,52,1,2,0,96,0,0,0,AL,Not Reported,2012
1,10059,1,53,1,4,9,34,9,1,7,AL,No Drugs,2012
1,10059,1,43,2,0,0,0,0,1,0,AL,No Drugs,2012
1,10059,1,19,2,0,0,96,0,0,0,AL,Not Reported,2012
1,10060,1,37,1,0,1,3,9,605,0,AL,Cannabinoid,2012
1,10060,2,58,1,4,8,96,8,0,0,AL,Not Reported,2012
1,10061,1,63,2,4,9,0,9,1,0,AL,No Drugs,2012
1,10061,2,49,2,3,8,96,8,0,0,AL,Not Reported,2012
1,10061,3,70,2,2,8,96,8,0,0,AL,Not Reported,2012
1,10061,4,71,2,4,8,96,8,0,0,AL,Not Reported,2012
1,10063,1,25,1,4,1,11,9,167,7,AL,Narcotic,2012
1,10064,1,21,1,4,0,96,0,0,0,AL,Not Reported,2012
1,10064,1,26,2,2,0,96,0,0,0,AL,Not Reported,2012
1,10064,2,3,1,2,8,96,8,0,0,AL,Not Reported,2012
1,10065,1,24,1,4,9,5,9,1,7,AL,No Drugs,2012
1,10066,1,80,2,4,0,96,0,0,0,AL,Not Reported,2012
1,10066,2,89,2,4,8,96,8,0,0,AL,Not Reported,2012
1,10066,1,55,1,0,0,96,0,0,0,AL,Not Reported,2012
1,10067,1,69,2,4,0,96,0,0,7,AL,Not Reported,2012
1,10067,1,58,2,2,0,96,0,0,0,AL,Not Reported,2012
1,10068,1,31,1,2,0,0,9,401,0,AL,Stimulant,2012
1,10068,1,54,1,4,0,0,0,1,7,AL,No Drugs,2012
1,10069,1,74,2,4,9,97,9,997,7,AL,Invalid Id,2012
1,10069,1,39,1,0,0,0,9,0,0,AL,Not Reported,2012
1,10070,1,17,1,4,0,97,0,997,7,AL,Invalid Id,2012
1,10071,1,50,1,4,0,1,0,417,7,AL,Stimulant,2012
1,10071,1,53,1,2,0,0,0,1,0,AL,No Drugs,2012
1,10071,2,57,2,0,8,96,8,0,0,AL,Not Reported,2012
1,10072,1,34,1,4,9,22,9,1,7,AL,No Drugs,2012
1,10073,1,998,8,0,9,96,9,0,0,AL,Not Reported,2012
